*** Execution for following Query  :
R_1 S_1
R S
R_2 1 S_2
AND
R_3 4 S_3
Replacer: Clock

heapR Size: 127
heapS Size: 19
After Copying....
Output: 
--------------------------
T1(ID)  T2(ID)
--------------------------
 157615     148838
 246616     236332
 274464     236332
 274464     236332
 312714     148838
 312714     236332
 324516     148838
 324516     236332
 345050     332751
 345050     236332
 361685     148838
 361685     332751
 361685     236332
 378369     332751
 378369     236332
 379554     332751
 379554     236332
 403626     148838
 403626     332751
 403626     236332
 404378     236332
 431199     332751
 431199     236332
 447630     236332
 467898     236332
 483836     332751
 483836     236332
 504525     236332
 507833     236332
 541570     332751
 541570     236332
 613242     236332
 632243     332751
 632243     236332
 654070     545850
 654070     148838
 654070     544577
 654070     332751
 654070     236332
 661953     332751
 661953     236332
 661953     656740
 678068     236332
 678068     656740
 685467     236332
 685467     656740
 698699     656740
 716718     545850
 716718     148838
 716718     544577
 716718     332751
 716718     236332
 716718     656740
 717034     545850
 717034     148838
 717034     544577
 717034     332751
 717034     236332
 717034     656740
 717894     148838
 717894     544577
 717894     332751
 717894     236332
 717894     656740
 731555     332751
 731555     236332
 731555     656740
 754462     743887
 754462     332751
 754462     236332
 754462     656740
 774238     236332
 774238     656740
 778696     743887
 778696     332751
 778696     236332
 778696     656740
 795388     743887
 795388     332751
 795388     236332
 795388     656740
 795743     743887
 795743     332751
 795743     236332
 795743     656740
 809719     545850
 809719     148838
 809719     544577
 809719     743887
 809719     332751
 809719     236332
 809719     656740
 816199     236332
 816199     656740
 816941     743887
 816941     332751
 816941     236332
 816941     656740
 824491     743887
 824491     332751
 824491     236332
 824491     656740
 846380     332751
 846380     236332
 846380     656740
 857580     236332
 857580     656740
 957181     656740
 966561     743887
 966561     886669
 966561     332751
 966561     915468
 966561     236332
 966561     656740
 975055     915468
 975055     236332
 975055     656740
 976021     332751
 976021     915468
 976021     236332
 976021     656740
 980767     743887
 980767     886669
 980767     332751
 980767     915468
 980767     236332
 980767     656740
 996465     236332
 996465     656740
 1072043     545850
 1072043     148838
 1072043     544577
 1072043     836580
 1072043     743887
 1072043     886669
 1072043     332751
 1072043     915468
 1072043     236332
 1072043     656740
 1081421     236332
 1081421     656740
 1134865     915468
 1134865     1108807
 1134865     236332
 1134865     656740
 1138993     743887
 1138993     886669
 1138993     332751
 1138993     915468
 1138993     1108807
 1138993     236332
 1138993     656740
 1165841     545850
 1165841     148838
 1165841     544577
 1165841     836580
 1165841     1165630
 1165841     743887
 1165841     1154128
 1165841     886669
 1165841     332751
 1165841     915468
 1165841     1151729
 1165841     1108807
 1165841     236332
 1165841     656740
 1173159     886669
 1173159     332751
 1173159     915468
 1173159     1151729
 1173159     1108807
 1173159     236332
 1173159     656740
 1173994     743887
 1173994     1154128
 1173994     886669
 1173994     332751
 1173994     915468
 1173994     1151729
 1173994     1108807
 1173994     236332
 1173994     656740
 1178098     915468
 1178098     1151729
 1178098     1108807
 1178098     236332
 1178098     656740
 1183676     236332
 1183676     656740
 1212227     886669
 1212227     332751
 1212227     915468
 1212227     1151729
 1212227     1108807
 1212227     236332
 1212227     656740
 1213811     975768
 1213811     545850
 1213811     148838
 1213811     544577
 1213811     836580
 1213811     1165630
 1213811     743887
 1213811     1154128
 1213811     886669
 1213811     332751
 1213811     915468
 1213811     1151729
 1213811     1108807
 1213811     236332
 1213811     656740
 1218661     743887
 1218661     1154128
 1218661     886669
 1218661     332751
 1218661     915468
 1218661     1151729
 1218661     1108807
 1218661     236332
 1218661     656740
 1234543     148838
 1234543     544577
 1234543     836580
 1234543     1165630
 1234543     743887
 1234543     1154128
 1234543     886669
 1234543     332751
 1234543     915468
 1234543     1151729
 1234543     1108807
 1234543     236332
 1234543     656740
 1234543     148838
 1234543     544577
 1234543     836580
 1234543     1165630
 1234543     743887
 1234543     1154128
 1234543     886669
 1234543     332751
 1234543     915468
 1234543     1151729
 1234543     1108807
 1234543     236332
 1234543     656740
 1235231     743887
 1235231     1154128
 1235231     886669
 1235231     332751
 1235231     915468
 1235231     1151729
 1235231     1108807
 1235231     236332
 1235231     656740
 1283895     545850
 1283895     148838
 1283895     544577
 1283895     836580
 1283895     1165630
 1283895     743887
 1283895     1154128
 1283895     886669
 1283895     332751
 1283895     915468
 1283895     1151729
 1283895     1108807
 1283895     236332
 1283895     656740
 1292400     332751
 1292400     915468
 1292400     1151729
 1292400     1108807
 1292400     236332
 1292400     656740
 1299380     545850
 1299380     148838
 1299380     544577
 1299380     836580
 1299380     1165630
 1299380     743887
 1299380     1154128
 1299380     886669
 1299380     332751
 1299380     915468
 1299380     1151729
 1299380     1108807
 1299380     236332
 1299380     656740
 1321131     836580
 1321131     1165630
 1321131     743887
 1321131     1154128
 1321131     886669
 1321131     332751
 1321131     915468
 1321131     1151729
 1321131     1108807
 1321131     236332
 1321131     656740
 1343201     743887
 1343201     1154128
 1343201     886669
 1343201     332751
 1343201     915468
 1343201     1151729
 1343201     1108807
 1343201     236332
 1343201     656740
 1347811     836580
 1347811     1165630
 1347811     743887
 1347811     1154128
 1347811     886669
 1347811     332751
 1347811     915468
 1347811     1151729
 1347811     1108807
 1347811     236332
 1347811     656740
 1352971     836580
 1352971     1165630
 1352971     743887
 1352971     1154128
 1352971     886669
 1352971     332751
 1352971     915468
 1352971     1151729
 1352971     1108807
 1352971     236332
 1352971     656740
 1364607     332751
 1364607     915468
 1364607     1151729
 1364607     1108807
 1364607     236332
 1364607     656740
 1367635     743887
 1367635     1154128
 1367635     886669
 1367635     332751
 1367635     915468
 1367635     1151729
 1367635     1108807
 1367635     236332
 1367635     656740
 1389613     544577
 1389613     836580
 1389613     1165630
 1389613     743887
 1389613     1154128
 1389613     886669
 1389613     332751
 1389613     915468
 1389613     1151729
 1389613     1108807
 1389613     236332
 1389613     656740
 1403557     1165630
 1403557     743887
 1403557     1154128
 1403557     886669
 1403557     332751
 1403557     915468
 1403557     1151729
 1403557     1108807
 1403557     236332
 1403557     656740
 1415509     743887
 1415509     1154128
 1415509     886669
 1415509     332751
 1415509     915468
 1415509     1151729
 1415509     1108807
 1415509     236332
 1415509     656740
 1424093     1151729
 1424093     1108807
 1424093     236332
 1424093     656740
 1433687     1165630
 1433687     743887
 1433687     1154128
 1433687     886669
 1433687     332751
 1433687     915468
 1433687     1151729
 1433687     1108807
 1433687     236332
 1433687     656740
 1434556     975768
 1434556     545850
 1434556     148838
 1434556     544577
 1434556     836580
 1434556     1165630
 1434556     743887
 1434556     1154128
 1434556     886669
 1434556     332751
 1434556     915468
 1434556     1151729
 1434556     1108807
 1434556     236332
 1434556     656740
 1444309     148838
 1444309     544577
 1444309     836580
 1444309     1165630
 1444309     743887
 1444309     1154128
 1444309     886669
 1444309     332751
 1444309     915468
 1444309     1151729
 1444309     1108807
 1444309     236332
 1444309     656740
 1470073     148838
 1470073     544577
 1470073     836580
 1470073     1165630
 1470073     743887
 1470073     1154128
 1470073     886669
 1470073     332751
 1470073     915468
 1470073     1151729
 1470073     1108807
 1470073     1467511
 1470073     236332
 1470073     656740
 1497017     886669
 1497017     332751
 1497017     915468
 1497017     1151729
 1497017     1108807
 1497017     1467511
 1497017     236332
 1497017     656740
 1517211     545850
 1517211     148838
 1517211     544577
 1517211     836580
 1517211     1165630
 1517211     743887
 1517211     1154128
 1517211     886669
 1517211     332751
 1517211     915468
 1517211     1151729
 1517211     1108807
 1517211     1467511
 1517211     236332
 1517211     656740
 1529240     915468
 1529240     1151729
 1529240     1108807
 1529240     1467511
 1529240     236332
 1529240     656740
 1545302     836580
 1545302     1165630
 1545302     743887
 1545302     1154128
 1545302     886669
 1545302     332751
 1545302     915468
 1545302     1151729
 1545302     1108807
 1545302     1467511
 1545302     236332
 1545302     656740
 1552649     236332
 1552649     656740
 1604913     886669
 1604913     332751
 1604913     915468
 1604913     1151729
 1604913     1108807
 1604913     1467511
 1604913     236332
 1604913     656740
 1618169     148838
 1618169     544577
 1618169     836580
 1618169     1165630
 1618169     743887
 1618169     1154128
 1618169     886669
 1618169     332751
 1618169     915468
 1618169     1151729
 1618169     1108807
 1618169     1467511
 1618169     236332
 1618169     656740
 1623686     836580
 1623686     1165630
 1623686     743887
 1623686     1154128
 1623686     886669
 1623686     332751
 1623686     915468
 1623686     1151729
 1623686     1108807
 1623686     1467511
 1623686     236332
 1623686     656740
 1627116     544577
 1627116     836580
 1627116     1165630
 1627116     743887
 1627116     1154128
 1627116     886669
 1627116     332751
 1627116     915468
 1627116     1151729
 1627116     1108807
 1627116     1467511
 1627116     236332
 1627116     656740
 1645324     886669
 1645324     332751
 1645324     915468
 1645324     1151729
 1645324     1108807
 1645324     1467511
 1645324     236332
 1645324     656740
 1656018     332751
 1656018     915468
 1656018     1151729
 1656018     1108807
 1656018     1467511
 1656018     236332
 1656018     656740
 1699209     148838
 1699209     544577
 1699209     836580
 1699209     1165630
 1699209     743887
 1699209     1154128
 1699209     886669
 1699209     332751
 1699209     915468
 1699209     1151729
 1699209     1108807
 1699209     1467511
 1699209     236332
 1699209     656740
 1707447     545850
 1707447     148838
 1707447     544577
 1707447     836580
 1707447     1165630
 1707447     743887
 1707447     1154128
 1707447     886669
 1707447     332751
 1707447     915468
 1707447     1151729
 1707447     1108807
 1707447     1467511
 1707447     236332
 1707447     656740
 1735181     975768
 1735181     545850
 1735181     148838
 1735181     1726810
 1735181     544577
 1735181     836580
 1735181     1165630
 1735181     743887
 1735181     1154128
 1735181     886669
 1735181     1774601
 1735181     332751
 1735181     915468
 1735181     1151729
 1735181     1108807
 1735181     1467511
 1735181     236332
 1735181     656740
 1737196     1726810
 1737196     544577
 1737196     836580
 1737196     1165630
 1737196     743887
 1737196     1154128
 1737196     886669
 1737196     1774601
 1737196     332751
 1737196     915468
 1737196     1151729
 1737196     1108807
 1737196     1467511
 1737196     236332
 1737196     656740
 1743816     545850
 1743816     148838
 1743816     1726810
 1743816     544577
 1743816     836580
 1743816     1165630
 1743816     743887
 1743816     1154128
 1743816     886669
 1743816     1774601
 1743816     332751
 1743816     915468
 1743816     1151729
 1743816     1108807
 1743816     1467511
 1743816     236332
 1743816     656740
 1748658     886669
 1748658     1774601
 1748658     332751
 1748658     915468
 1748658     1151729
 1748658     1108807
 1748658     1467511
 1748658     236332
 1748658     656740
 1767497     836580
 1767497     1165630
 1767497     743887
 1767497     1154128
 1767497     886669
 1767497     1774601
 1767497     332751
 1767497     915468
 1767497     1151729
 1767497     1108807
 1767497     1467511
 1767497     236332
 1767497     656740
 1782601     975768
 1782601     545850
 1782601     148838
 1782601     1726810
 1782601     544577
 1782601     836580
